tweet_id,kurdish_tweets,sentiment,author,content,tweets,kurdish_sentiments,sentiment_id
1956967341,دەزانم پێشتر گوێم لە خووی خراپ بوو و دەستم کرد بە  لە لایەن ئەوەوە =[,empty,xoshayzers,@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[,i know i was listenin to bad habit earlier and i started freakin at his part =[,بەتاڵ,1
1956967666,لایین ن جێگا بە سەرئێشە ... لە پەیوەندیەکەت...,sadness,wannamama,Layin n bed with a headache  ughhhh...waitin on your call...,Layin n bed with a headache ughhhh...waitin on your call...,دڵتەنگ,2
1956967696,ئاهەنگی پرسە...هەینییەکی تاریک...,sadness,coolfunky,Funeral ceremony...gloomy friday...,Funeral ceremony...gloomy friday...,دڵتەنگ,2
1956967789,دەیەوێت بەم زووانە لەگەڵ هاوڕێکانی کۆببێتەوە!,enthusiasm,czareaquino,wants to hang out with friends SOON!,wants to hang out with friends SOON!,پەرۆش,3
1956968416,ئێمە دەمانەوێت بازرگانی لەگەڵ کەسێک بکەین کە بلیتی هیوستنی هەیە، بەڵام کەس نایکات.,neutral,xkilljoyx,"@dannycastillo We want to trade with someone who has Houston tickets, but no one will.","We want to trade with someone who has Houston tickets, but no one will.",ئاسایی,4
1956968477,دووبارە پینگکردن بۆچی نەچوویتە ئاهەنگی دەرچوون؟ بی سی  ی من حەزی لە هاوڕێکانم نەبوو,worry,xxxPEACHESxxx,Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends,Re-pinging why didn't you go to prom? BC my bf didn't like my friends,نیگەران,5
1956968487,من دەبێ بخەوم، بەڵام ئیم نا! بیرکردنەوە لە هاوڕێیەکی کۆن کە من دەمەوێت. بەڵام ئێستا هاوسەرگیری کردووە. نەفرەت، &; ئەو منی دەوێت ٢! فەزیحە!,sadness,ShansBee,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!","I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!",دڵتەنگ,2
1956968636,هەممم. ://../ دابەزیوە,worry,mcsleazy,Hmmm. http://www.djhero.com/ is down,Hmmm. http://www.djhero.com/ is down,نیگەران,5
1956969035,شارلین خۆشەویستەکەم. بیرت دەکەم,sadness,nic0lepaula,@charviray Charlene my love. I miss you,Charlene my love. I miss you,دڵتەنگ,2
1956969172,ببورن لانیکەم ڕۆژی هەینییە؟,sadness,Ingenue_Em,@kelcouch I'm sorry  at least it's Friday?,I'm sorry at least it's Friday?,دڵتەنگ,2
