tweet_id,kurdish_tweets,sentiment,author,content,tweets,kurdish_sentiments
1956967341,دووبارە پینگکردن بۆچی نەچوویتە ئاهەنگی دەرچوون؟ بی سی bf ی من حەزی لە هاوڕێکانم نەبوو,empty,xoshayzers,@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[,i know i was listenin to bad habit earlier and i started freakin at his part =[,بەتاڵ
1956967666,هەواڵەکەی دەستکەوت,sadness,wannamama,Layin n bed with a headache  ughhhh...waitin on your call...,Layin n bed with a headache ughhhh...waitin on your call...,دڵتەنگ
1956967696,هەممم. http://www.djhero.com/ دابەزیوە,sadness,coolfunky,Funeral ceremony...gloomy friday...,Funeral ceremony...gloomy friday...,دڵتەنگ
1956967789,ئێمە دەمانەوێت بازرگانی لەگەڵ کەسێک بکەین کە بلیتی هیوستنی هەیە، بەڵام کەس نایکات.,enthusiasm,czareaquino,wants to hang out with friends SOON!,wants to hang out with friends SOON!,پەرۆش
1956968416,ئاهەنگی پرسە...هەینییەکی تاریک...,neutral,xkilljoyx,"@dannycastillo We want to trade with someone who has Houston tickets, but no one will.","We want to trade with someone who has Houston tickets, but no one will.",ئاسایی
1956968477,ئەگەر سەیری گردەکان بکەیت لە لەندەن ئەوا تێدەگەیت کە چ گەشتێکە چونکە هەفتە و هەفتە دواکەوتبوو من تەنها سەیری itonlinelol دەکەم,worry,xxxPEACHESxxx,Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends,Re-pinging why didn't you go to prom? BC my bf didn't like my friends,نیگەران
1956968487,چۆن قەناعەتت هەیە کە من هەمیشە تۆم ویستووە؟ چ سیگناڵێکم داوە...نەفرەت پێم وایە تازە هاوڕێیەکی ترم لەدەستداوە,sadness,ShansBee,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!","I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!",دڵتەنگ
1956968636,دەیەوێت بەم زووانە لەگەڵ هاوڕێکانی کۆببێتەوە!,worry,mcsleazy,Hmmm. http://www.djhero.com/ is down,Hmmm. http://www.djhero.com/ is down,نیگەران
1956969035,ببورن لانیکەم ڕۆژی هەینییە؟,sadness,nic0lepaula,@charviray Charlene my love. I miss you,Charlene my love. I miss you,دڵتەنگ
1956969172,ئەف! دەبێت لەم گۆرانییە گەمژانە بدەم تا بگەمە بێئەدەبی داهاتوو!,sadness,Ingenue_Em,@kelcouch I'm sorry  at least it's Friday?,I'm sorry at least it's Friday?,دڵتەنگ
1956969456,lady gaga لە تویتێکدا باسی لەوە کردووە کە سەرسام نەبووە بە دزەپێکردنی ڤیدیۆکەی تەنها بۆ ئەوەی بزانن,neutral,feinyheiny,cant fall asleep,cant fall asleep,ئاسایی
1956969531,ئەوەندە خەواڵووی دیسانەوە و تەنانەت ئەوەندە درەنگ نەبووە. جارێکی تر شکست دێنم.,worry,dudeitsmanda,Choked on her retainers,Choked on her retainers,نیگەران
1956970047,ناتوانم بخەوم,sadness,Danied32,Ugh! I have to beat this stupid song to get to the next  rude!,Ugh! I have to beat this stupid song to get to the next rude!,دڵتەنگ
1956970424,من دەبێ بخەوم، بەڵام ئیم نا! بیرکردنەوە لە هاوڕێیەکی کۆن کە من دەمەوێت. بەڵام ئێستا هاوسەرگیری کردووە. نەفرەت، &amp; ئەو منی دەوێت ٢! فەزیحە!,sadness,Samm_xo,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,if u watch the hills in london u will realise what tourture it is because were weeks and weeks late i just watch itonlinelol,دڵتەنگ
1956970860,خنکا بە ڕیتێنەرەکانی,surprise,okiepeanut93,Got the news,Got the news,سوپرایز
1956971077,ڕازی بوو,sadness,Sim_34,The storm is here and the electricity is gone,The storm is here and the electricity is gone,دڵتەنگ
1956971170,پێم سەیرە بۆچی کاتژمێر ٧ی بەیانی بەئاگام،گۆرانییەکی نوێ دەنووسم،پیلانی پیلانە نهێنییە خراپەکانم دەگێڕم muahhaha...ئۆه نەفرەت،ئیتر نهێنی نییە,love,poppygallico,@annarosekerr agreed,agreed,خۆشەویستی
1956971206,دەزانم پێشتر گوێم لە خووی خراپ بوو و دەستم کرد بە freakin لە لایەن ئەوەوە =[,sadness,brokenangel1982,So sleepy again and it's not even that late. I fail once again.,So sleepy again and it's not even that late. I fail once again.,دڵتەنگ
1956971473,ئای زۆر خراپە! هیوادارم باشتر بێت. منیش لەم دواییانەدا کێشەی خەوتنم هەیە,worry,LCJ82,@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know,lady gaga tweeted about not being impressed by her video leaking just so you know,نیگەران
1956971586,لایین ن جێگا بە سەرئێشە ughhhh...waitin لە پەیوەندیەکەت...,sadness,cleepow,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend,دڵتەنگ
1956971981,شارلین خۆشەویستەکەم. بیرت دەکەم,worry,andreagauster,@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too,oh too bad! I hope it gets better. I've been having sleep issues lately too,نیگەران
1956972097,زریان لێرەیە و کارەبا نەماوە,fun,schiz0phren1c,"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore","Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore",خۆشی
1956972116,ئەوەندە ماندووم و پێموایە بە دڵنیاییەوە تووشی هەوکردنی گوێچکە دەبم. چوونە سەر جێگا &quot;زوو&quot; ته نها جاریک.,neutral,jansc,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps,No Topic Maps talks at the Balisage Markup Conference 2009 Program online at http://tr.im/mL6Z (via #topicmaps,ئاسایی
1956972270,دام سێرڤەرەکان هێشتا دابەزین پێویستە 80 لێبدەم پێش ئەوەی هەموو کۆکسپەرەکان تێپەڕنم,worry,sweet8181,I ate Something I don't know what it is... Why do I keep Telling things about food,I ate Something I don't know what it is... Why do I keep Telling things about food,نیگەران
1956972359,ببورە خەڵک زۆر بێ ئەدەبن لەگەڵت، isaac، پێویستە هەندێک ڕەوشت بەدەست بهێنن و باشتر بزانن لەوەی ئەوەندە لەشفرۆش بن!,sadness,xamountoftruth,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.,so tired and i think i'm definitely going to get an ear infection. going to bed &quot;early&quot; for once.,دڵتەنگ
1956972444,فۆدج.... تەنها ئەو هەموو کاغەزەم BS'd کرد.... ئەوەندە ماندوو بووم.... ئەف ڕقم لە قوتابخانەیە..... کاتی خەوتن!!!!!!!!!!!,worry,jomama6881,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old,نیگەران
1956972557,قسەکانی نەخشەی هیچ بابەتێک لە پرۆگرامی کۆنفرانسی مارکاپی بالیساج ٢٠٠٩ بە شێوەی ئۆنلاین لە http://tr.im/mL6Z (لە ڕێگەی #topicmaps,sadness,LilithGaea,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!","i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!",دڵتەنگ
1956972884,لە ڕێگام بۆ ماڵەوە n هەبوونی 2 گرێبەست w کچانی کەم تەمەن خواردنەوەی جین لە دا پاس لەکاتێکدا باسی bout keggers......نەفرەت هەست بە پیری,worry,oONEPTUNEOo,Damm servers still down  i need to hit 80 before all the koxpers pass me,Damm servers still down i need to hit 80 before all the koxpers pass me,نیگەران
1956973598,شتێکم خوارد کە نازانم چییە... بۆچی بەردەوام شتەکان دەگێڕمەوە دەربارەی خواردن,sadness,username_origin,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school..... time to sleep!!!!!!!!!!!,دڵتەنگ
1956973690,ڕقم لە شێرپەنجەیە. ڕقم لێیە ڕقم لێیە ڕقم لێیە.,worry,catchtheapple,I HATE CANCER. I HATE IT I HATE IT I HATE IT.,I HATE CANCER. I HATE IT I HATE IT I HATE IT.,نیگەران
1956974706,ئەوەندە بێزارکەر دەبێت کاتێک لە نیوەی شەودا دەست دەکات بە تایپکردن لەسەر کۆمپیوتەرەکەی!,hate,MavrickAces,It is so annoying when she starts typing on her computer in the middle of the night!,It is so annoying when she starts typing on her computer in the middle of the night!,ڕق
1956975441,ناتوانم بخەوم,neutral,LovableKeKe,@cynthia_123 i cant sleep,i cant sleep,ئاسایی
1956975860,هەست بە گرژبوونی بەهێز دەکات بەڵام دەیەوێت بچێتە دەرەوە. http://plurk.com/p/wxidk,neutral,analalalah,I missed the bl***y bus!!!!!!!!,I missed the bl***y bus!!!!!!!!,ئاسایی
1956975876,بیری پاسی bl***yم کرد!!!!!!!!,neutral,jubaldo,feels strong contractions but wants to go out.  http://plurk.com/p/wxidk,feels strong contractions but wants to go out. http://plurk.com/p/wxidk,ئاسایی
1956975927,سۆکال! stoked. یان ڕەنگە نەبێت.. سبەی,neutral,mikhaelaela,SoCal!  stoked. or maybe not.. tomorrow,SoCal! stoked. or maybe not.. tomorrow,ئاسایی
1956976187,Screw you من تەنها 3 هەفتەم هەیە...,neutral,ivoflipse5,Screw you @davidbrussee! I only have 3 weeks...,Screw you I only have 3 weeks...,ئاسایی
1956976312,من ئێستا پێویستم بە سکۆتە,sadness,amy__xx,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?,yeah :S i feel all funny cause i haven't slept enough i woke my mum up cause i was singing she's not impressed :S you?,دڵتەنگ
1956976371,بەڵێ :S هەست بە هەموو شتێکی کۆمیدی دەکەم چونکە من بەشی ئەوەندە نەخەوتووە دایکم لە خەو هەڵسا چونکە گۆرانیم دەگوت سەرسام نەبووە :S تۆ؟,worry,babyxj,I need skott right now,I need skott right now,نیگەران
1956976557,ئەمڕۆ پاشنیوەڕۆ کارەکانی هەیە,neutral,JanBenn,has work this afternoon,has work this afternoon,ئاسایی
1956976681,ئاو تۆ ئەنفۆڵۆوم نەدەکرد ئەی؟ پاشان دەگریام,neutral,HarryHarley,@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry,Aw you would not unfollow me would you? Then I would cry,ئاسایی
1956977084,mmm ڕۆژێکی زۆر باشتر... تا ئێستا! هێشتا زۆر زووە. کۆتا ڕۆژی #uds,happiness,ktierson,mmm much better day... so far! it's still quite early. last day of #uds,mmm much better day... so far! it's still quite early. last day of #uds,بەختەوەر
1956977187,&lt;3 تۆ دەبێتە یەکەم تویتەر ;) دەبێتە هۆی سەرسوڕهێنەرەکەت خخخخ. وەرە بۆ کەنەدا هەر شتێکم دەکرد بۆ ئەوەی ببینم تۆ نمایش بکەیت,fun,diNGUYEN31,@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform,&lt;3 your gonna be the first twitter ;) cause your amazing lol. come to canada would do anything to see you perform,خۆشی
1956977618,تازە لە ناوەڕاستی شەقامەکەوە بلاکبێرییەکەی هەڵگرتووە! هەم ئەو و هەم ئەویش چەقێنراون!,worry,MDD113,just picked up her Blackberry from the middle of the street! Both she and it are crushed!,just picked up her Blackberry from the middle of the street! Both she and it are crushed!,نیگەران
1956977624,بۆچی هەست دەکەم کە دەبێ لە دەوروبەری ئەم کاتەی ساڵدا پاکەت بکەم و لێبدەم بۆ SFO؟ پێم وایە شتێکم لەدەست داوە...,worry,alexsnaps,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...,نیگەران
1956978276,قوتابخانەی ناوەندی و elem. ئامادەییەکان بە کراوەیی دەمێننەوە بۆ ئەو کەسانەی کە پێویستیان بە کرێدت هەیە بۆ دەرچوون. کالی شکا,empty,Aggie9,@creyes middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken,middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken,بەتاڵ
1956978410,جێگا!!!!!... کاتی خۆی،..... هیوادارم سبەی بچمە قوتابخانە، هەموو هەرچەندە هەست بە باشییەکی زۆر ناکەم لە ئێستادا,worry,TannerMade,"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now","Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now",نیگەران
1956978668,ئاهه. ... باشە، هیوای ئەوەم دەخواست کە بتوانم لە ڕێگادا هەندێک شت فێر بم. ... بۆچی من و تۆ کار لەسەر شتی جیاواز ناکەین بەڵام هەروەها,worry,bryancheung,"@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also","Ahh. ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also",نیگەران
1956979150,من لێرە لە تویتەر کێشەم هەیە لەگەڵ وێنەکەم amf!!!...ناتوانم ڕووخسارم ببینم!,sadness,rionne,I'm having a problem with my photo here in twitter amf!!!...can't see my face!,I'm having a problem with my photo here in twitter amf!!!...can't see my face!,دڵتەنگ
1956979437,ئای نەخێر! ئەگەر تایەی ئۆتۆمبێلێک بفڕم ئەوا بەڕاستی دەبێت هەندێک دوکەڵی باتمان بنێری بۆ سەرەوە.,neutral,shenamygans,"@jakeboyd, oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke.",oh noooo! if i blow a tire you're reaaaally going to have to send up some batman smoke.,ئاسایی
1956979756,wnna حەمامێک بکە!!!!,neutral,ryarellano,wnna take a bath!!!!,wnna take a bath!!!!,ئاسایی
1956979894,شیری شوکولاتە لە ڕێگەی پەڕۆیەکەوە زۆر باشترە. من کەمی وتراوە پەڕۆ,neutral,lookitsholly,Chocolate milk is so much better through a straw. I lack said straw,Chocolate milk is so much better through a straw. I lack said straw,ئاسایی
1956979900,بۆچی ئەوەندە ماندووم؟,worry,a_schmel,why am i so tired?,why am i so tired?,نیگەران
1956979917,هێی یو لیل گێل من نامەم بۆ یو,empty,Dreness023,@djmicdamn hey yu lil fucker i textd yu,hey yu lil fucker i textd yu,بەتاڵ
1956980788,کات جیاوازی و من تەنها لە شتەکانی ڕۆژانەدا پێچراومەتەوە بۆیە من havent بووم تویت. بەم زووانە قسە بکە،پێویستە بخەوێت...لە 6hrs دا هەڵدەستێت,neutral,nathaliep,"@Mennard time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs","time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs",ئاسایی
