tweet_id,kurdish_tweets,sentiment,author,content,tweets,kurdish_sentiments
1751786273,بەڕاستی? بەهاها. من زۆرم خۆشدەوێت کە تۆ خەڵک بەوەوە دەبەستیتەوە. هاها.,love,GuitarLove08,@musicislife2010 Really? Bahaha. I love that you relate people to that. haha.,Really? Bahaha. I love that you relate people to that. haha.,خۆشەویستی
1751786282,ئەمشەو گەیشتمە پەیوەندی لەگەڵ چەند هاوڕێیەکی ئازیز. من زۆر بەختەوەرم کە زۆر کەسی گەورەم لە ژیانمدا هەیە. من پیروزم,worry,annettebroy,Got to reconnect with some dear friends tonight.  I am so lucky to have so many great people in my life.  I am blessed,Got to reconnect with some dear friends tonight. I am so lucky to have so many great people in my life. I am blessed,نیگەران
1751786286,لەگەڵ خێزانەکەدا ئاهەنگی ڕۆژی دایکان دەگێڕم بەڵام دەست دەکەین بە ئاهەنگگێڕان,surprise,Queeny_Bee43,Gonna celebrate Mothers Day with the family but gonna start the partying tonite,Gonna celebrate Mothers Day with the family but gonna start the partying tonite,سوپرایز
1751786313,شەوێکی وەها خۆش لەگەڵ بێکە تەنها قسەکردن و شتی وا. ووڤ ئەو,happiness,wynterlove,such a fun night with Bekah just talkin and stuff. Wuv her,such a fun night with Bekah just talkin and stuff. Wuv her,بەختەوەر
1751786314,ئەمڕۆم تەرخان کرد بۆ ڤیدیۆکانی ڕۆژی دایکان چونکە بەبێ دایکان (و باوکان) لێرە نەدەبووین و تویتمان دەکرد.,love,newsage,I dedicated today to Mothers Day videos because without Moms (and Dads) we wouldn't be here tweeting.,I dedicated today to Mothers Day videos because without Moms (and Dads) we wouldn't be here tweeting.,خۆشەویستی
1751786318,دەچم هەندێک دار لە حەوزەکەدا بخەنە خوارەوە لە 15 خولەکدا,fun,js063664,Gonna go drop some logs in the pool  back in 15 min,Gonna go drop some logs in the pool back in 15 min,خۆشی
1751786319,http://twitpic.com/4wave - aww لە ڕۆژی دایکیەوە,love,Alliespace,http://twitpic.com/4wave - aww since its mothers day,http://twitpic.com/4wave - aww since its mothers day,خۆشەویستی
1751786339,بەختم وایە لەو شوێنەدام کە سەر بە منم,happiness,AngelinaMCole,lucky to be where i belong,lucky to be where i belong,بەختەوەر
1751786371,ئاخر باش بوو. یەک دوو شت وای لێکردین درەنگ و شتی تر بەڵام دوای ئەوەی گەیشتینە ئەوێ زۆر خۆشمان بەسەر برد.,fun,JenBrockwell,@nathydiaz it was ok after all. a couple of things made us late and stuff but after we got there we had a lot of fun.,it was ok after all. a couple of things made us late and stuff but after we got there we had a lot of fun.,خۆشی
1751786386,تازە لە ڕۆژێک لە نازکردن و بازاڕکردن گەیشتمە ماڵەوە!!!! ئێستا جل و بەرگی سپیم بە تەواوی تەواو بووە,happiness,ETown_Lesley,Just got home from a day of pampering and shopping!!!! My white outfit is now totally complete,Just got home from a day of pampering and shopping!!!! My white outfit is now totally complete,بەختەوەر
1751786473,ئەوە جوانە. ئامۆزاکەم تازە ماڵی منی بەجێهێشتووە. ئەو کچەکەی هەیە هەموو کچەکانی باوکیان. زۆر شیرینە,happiness,LadyLove88,@Coodieranks Thats nice. My cousin just left my house. He has daughter's their all daddy's girls. So sweet,Thats nice. My cousin just left my house. He has daughter's their all daddy's girls. So sweet,بەختەوەر
1751786516,هەوایەکی ترسناکەکەی لێرە دەرەوە شتێکی باشە کە بەتانییان فرۆشت!,relief,Zoekatherine,its awful breezy out here good thing they sold blankets!,its awful breezy out here good thing they sold blankets!,ئارام
1751786528,رۆژی دایکان پیرۆز بێت!!! لەگەڵ خێزانەکەم لە کەنار دەریام. شەوێکی گەرم و ڕوونە و مانگێکی پڕ جوانی تێدایە...,love,MariRamos,"Happy Mother's Day!!!  I'm at the beach with my family. It's a warm, clear night with a beautiful full moon...","Happy Mother's Day!!! I'm at the beach with my family. It's a warm, clear night with a beautiful full moon...",خۆشەویستی
1751786533,دروستکردنی ڤیدیۆیەک بۆ HitRecord... هیوادارم بە باشی دەربچێت، یەکەم تۆمارم بێت,fun,stolenzippers,"Making a video for HitRecord... hope it comes out well, it'll be my first record","Making a video for HitRecord... hope it comes out well, it'll be my first record",خۆشی
