,Header,Article,Link,Image
0,,,https://www.xendan.org/detailnews/165548,https://wenakan.xendan.org/root/
1,"ئاسایشی هەرێم دەستگیرکردنی باندێکی ""فرۆشتنی ئامێرەکانی قۆپیکردن"" ڕادەگەیەنێت","خەندان-
دەزگای ئاسایشی هەرێمی کوردستان رایگەیاند، هێزەکانیان گروپێکیان دەستگیرکرد کە لە سێ کەس پێکهاتون و هەوڵیاندابو خوێندکاران فریو بدەن کە پرسیاری پۆلی 12ی ئامادەیی دەفرۆشن بە ڕێگای مامەڵەی ئۆنلاین .

دەزگای ئاسایشی هەرێم لەڕاگەیەندراوێکدا بڵاویکردەوە، ""پاش دەستکەوتنی زانیاری لەسەر فرۆشتنی ئامێرەکانی ( قۆپیکردن ) و تێکدانی دەرونی خوێندکاران و فریودانیان لە تۆڕە کۆمەڵایەتیەکانەوە کە پرسیاری پۆلی 12ی تاقیکردنەوەکانی کۆتایی ساڵی 2023 دەفرۆشن، لەسەر فەرمانی دادوەری لێکۆڵینەوە، هێزەکانی دەزگای ئاسایش بە هەماهەنگی لەگەڵ بەڕێوەبەرایەتی ئاسایشی ڕاپەڕین و ئاسایشی ڕۆژئاوای سلێمانی لە ماوەیەکی کورتدا زانیاری پێویست بەدەستهات بۆ دەستنیشانکردنی شوێنی تۆمەتباران و دەستگیرکردنیان "".
سەرئەنجام توانرا گروپێکی سێ کەسی دەستگیربکرێن

ئاماژەی بەوەشکردوە، سەرئەنجام توانرا گروپێکی سێ کەسی دەستگیربکرێن، کاریان فرۆشتنی ئامێرەکانی قۆپیکردن بوە و دەستگیرا بەسەر چەند ئامێر و کەرەستەی قۆپیکردن وەک ئامێری پەیوەندیکردنی (بێسیم) بە شێوەی شاراوە لە جلوبەرگی ژێرەوەی پیاوان و ژنان دانرابون، بیستۆک (سەماعە) ، قەڵەم جافی قۆپیکردن، ئامێری پشکنین  .
ئامێرەکانیان لە ناوەڕاست و باشوری عێراق هێناوە و هەوڵیانداوە لە ڕێگای ئۆنلاینەوە ئامێرەکانیان ساغبکەنەوە

ئەوەشی رونکردۆتەوە، ""تۆمەتباران پێکهاتون لە ( ش ، ع ، ڕ ) ، ( ە ، م ، ح ) ، ( ش ، ف ، ک ) تەمەنیان لە نێوان 20-25 ساڵدایە، دانیشتوی هەرێمی کوردستانن، ئامێرەکانیان لە ناوەڕاست و باشوری عێراق هێناوە و هەوڵیانداوە لە ڕێگای ئۆنلاینەوە ئامێرەکانیان ساغبکەنەوە.
فریو نەدرێن بەو دەنگۆیانەی باس لە فرۆشتنی پرسیاری تاقیکردنەوەکانی کۆتایی پۆلی 12 دەکەن

دەزگای ئاسایشی هەرێمی کوردستان دەشڵێت، ""ئاسایش دڵنیایی دەداتە سەرجەم خوێندکاران، هۆشیاربن و فریو نەدرێن بەو دەنگۆیانەی باس لە فرۆشتنی پرسیاری تاقیکردنەوەکانی کۆتایی پۆلی 12 دەکەن، هەروەها بەدوربن لەهەر ئامێرێکی قۆپیکردن، لە پێناو بە دیهێنانی کەشێکی ئارام و تاقیکردنەوەیەکی سەرکەوتو"".",https://www.xendan.org/detailnews/165547,https://wenakan.xendan.org/root/root/images/17162023_122228435555555555555552.jpg
2,نرخی نەوت بەرزبۆوە,"خەندان-
 ئێوارەی ئەمڕۆ پێنجشەممە ئەمڕۆ پێنجشەممە زیاتر لە دو دۆلار بەرزبۆوە، یەکێک لە هۆکارە سەرەکیەکانیشی بۆ لاوازبونی بەهای دۆلار بەرامبەر بەدراوەکان دەگەڕێتەوە، هەروەها گەشبینی بە ئاسۆی وەستانی بەرزکردنەوەی ڕێژەی سود لە ئەمریکا و دەنگدانی یەکلاکەرەوە لە ئەنجومەنی نوێنەران لەسەر پڕۆژە یاسای سەقفی قەرزەکانی حکومەت هۆکارێکی دیکەی بەرزبونەوەکەی ئەمشەوی نەوتە.

هەردو جۆری نەوتی برێنت و رۆژئاوای تەکساس لە ڕۆژانی سێشەممە و چوارشەممەی ئەم هەفتەیە دابەزینی بەرچاویان بەخۆوە بینی، بەڵام ئێوارەی ئەمڕۆ جارێکی دیکە رویان لەبەرزبونەوە کرد و بەجۆرێک بەرمیلێک نەوتی برێنت 2.13 دۆلار بەرزبۆوە کە دەکاتە رێژەی 2.93%ی نرخەکەی و گەیشتە 74.73 دۆلار، هەروەها بەرمیلێک نەوتی تەکساسیش 2.51 دۆلار بەرزبۆوە کە دەکاتە رێژەی 3.59% و گەیشتە 70.60 دۆلار.
پێشبینی دەکەن کە بانکی ناوەندی ئەمریکا لە کۆبونەوەی داهاتودا ڕێژەی سودی خۆی ڕابگرێت

بەرپرسانی یەدەگی فیدراڵی ئەمریکا ڕۆژی چوارشەممە ئاماژەیان بە ئەگەری دیاریکردنی ڕێژەی سود لەم مانگەدا کرد، بەپێی پێوەرەکانی CME FedWatch، ئێستا بازاڕەکان بە ڕێژەی 72.6% پێشبینی دەکەن کە بانکی ناوەندی ئەمریکا لە کۆبونەوەی داهاتودا ڕێژەی سودی خۆی ڕابگرێت.
سەرنجی بازاڕی نەوت لەسەر کۆبونەوەی ئۆپێک +ە

سەرنجی بازاڕی نەوت لەسەر کۆبونەوەی ئۆپێک +ە کە پێکهاتوە لە ڕێکخراوی وڵاتانی هەناردەکاری نەوت و ئۆپێک و هاوپەیمانەکانی بە ڕوسیاشەوە لە رۆژی 4ی (حوزەیران/6)ی 2023 کە شایەتحاڵی گفتوگۆی ئەگەری کەمکردنەوەی زیاتری نەوت دەبێت بەرهەمهێنانی نەوت یان مانەوە لە هەمان ئاستی ئێستادا.

لە لایەکی دیکەوە، داتاکانی ئیدارەی زانیاری وزەی ئەمریکا لە ڕاپۆرتی هەفتانەی خۆیدا ئاشکرایکردوە، لە ماوەی هەفتەی کۆتایی هاتنی 26ی ئایاردا، پشکەکانی نەوتی خاوی ئەمریکا چوار ملیۆن و 490 هەزار بەرمیل بەرزبوەتەوە، ئەمەش پێچەوانەی پێشبینییەکانی شرۆڤەکاران بوە، کە ئاماژەیە بۆ دابەزینی یەک ملیۆن و 100 هەزار بەرمیل بۆ ماوەی هەفتەی ڕابردو.",https://www.xendan.org/detailnews/165550,https://wenakan.xendan.org/root/root/images/18162023_51252023_9999994567456456456456456 (1).jpg
3,لە ئاهەنگێکی هاوسەرگیریدا دو کەس کوژران و دەیان کەسی دیکەش برینداربون,"خەندان-

لەئەنجامی فڕێدانی دو بۆمب و دەستڕێژی گوللـە بۆ سەر ئاهەنگێکی هاسوەرگیری لە ناوچەی موشەرەفی شاری حومسی سوریا، دو کەس کوژران و دەیانی دیکەش برینداربون. 

وەزارەتی ناوخۆی سوریا لەڕاگەیەندراوێکدا ئەمڕۆ پێنجشەممە بڵاویکردەوە، هێزەکانی پۆلیسی قەزای عەین نەسڕ لە پارێزگای حومس ئاگادارکراونەتەوە کە دو کەس دو بۆمبیان فڕێداوەتە ناو ئاهەنگێکی هاوسەرگیری لە شارۆچکەی موشەرەف و پاشانیش دەستڕێژی گوللـەیان کردوە.لەئەنجامی ئەو روداوە دو کەس گیانیان لەدەستداوە
ئاماژەی بەوەشکرد، هێزەکانی پۆلیس چونەتە شوێنی روداوەکە و دەرکەوتوە، لەئەنجامی ئەو روداوە دو کەس گیانیان لەدەستداوە و 47 کەسی دیکەش برینداربون، هەندێکیان باری تەندروستییان ناجێگیرە.بریندارەکان بەمەبەستی وەرگرتنی چارەسەر رەوانەی نەخۆشخانە کراون
ئەوەشیخستەڕو، بریندارەکان بەمەبەستی وەرگرتنی چارەسەر رەوانەی نەخۆشخانە کراون، هەردو کوژراوەکەش بۆ پزیشکی دادی حومس گواستراونەتەوە.

 سەبارەت بەهۆکارەکانی ئەو روداوە، وەزارەتی ناوخۆی سوریا ئاشکرایکردوە، دو کەس بەناوەکانی (فادی و حازم) خەڵکی گوندی ئوقەیربات بون، دو بۆمبیان فڕێداوە و بەهۆی ناکۆکی کەسییەوە و پاشانیش تەقەیان لە ئاهەنگی هاوسەرگیرییەکە کردوە، دواتر هەڵاتون.

جەختیشی لەوە کردەوە کە لێکۆڵینەوەکان هێشتا بەردەوامن و لێکۆڵینەوە لە ئارادایە بۆ دەستگیرکردنیان و گرتنەبەری ڕێوشوێنی یاسایی بەرامبەر ئەو دو تۆمەتبارە.",https://www.xendan.org/detailnews/165543,https://wenakan.xendan.org/root/root/images/15162023_234267867834444444444.jpg
4,ژنێک بەهۆی دۆزینەوەی 500 کرۆن، بەپارەیەکی زۆر سزادەدرێت,"خەندان-

ژنێک لە شاری یۆنشۆپینگی سویدی پاش ئەوەی هەوڵیدا ئەو 500 کرۆن (46 دۆلار)ەی دۆزیویەتیەوە رادەستی پۆلیسی بکات تا بگەیەندرێتەوە دەستی خاوەنەکەی، لەلایەن دادگاوە بەسزای 13 هەزار و 800 کرۆن (700 دۆلار) سزادرا.

بەگوێرەی کەناڵی ناوخۆیی سوید، لە سەرەتای مانگی (ئازار/3)ی ئەمساڵ ژنێک لە شاری یۆنشۆپینگ بڕی 500 کرۆنی دۆزیوەتەوە، بەڵام هەرئەوکات پارەکەی رادەستی پۆلیس نەکردوە و هیچ لایەنێکی پەیوەندیداری ئاگادارنەکردۆتەوە کە ئەو پارەیەی دۆزیوەتەوە، لە 15ی (ئایار/5) چوەتە بنکەیەکی پۆلیس و وتویەتی، ""من 500 کرۆنم دۆزیوەتەوە""، پاشان ژنەکە دادگاییکراوە.
مەودای نێوان دۆزینەوەی پارەکە و رادەستکردنی بە پۆلیس زۆر دورودرێژ بوە
بە گوێرەی داواکاری گشتی یۆنشۆپینگ مەودای نێوان دۆزینەوەی پارەکە و رادەستکردنی بە پۆلیس زۆر دورودرێژ بوە، بۆیە ئێستا دادگا بڕیاریداوە بە پێبژاردنی ئەو ژنە بەبڕی 13 هەزار و 800 کرۆن.
 ئەو ژنە غەرامە کراوە، چونکە مانگ و نیوێک چاوەڕێی کردوە بۆئەوەی دراوەکە ڕادەستی پۆلیس بکات

پەخشی ڕادیۆی گشتی ناوچەیی P4 Jönköping بڵاویکردەوە، ئەو ژنە غەرامە کراوە، چونکە مانگ و نیوێک چاوەڕێی کردوە بۆئەوەی دراوەکە ڕادەستی پۆلیس بکات، داواکاری گشتیش تۆمەتباریکردوە، بە نەگەڕاندنەوەی موڵک و ماڵی ونبو.

بەگوێرەی بڕیارەکەی دادگای یۆنشۆپینگ، ئەو ژنە رۆژانە 30 کرۆن دەدات تاوەکو کۆی گشتی پێبژاردنەکەی کە 13 هەزار و 800 کرۆنە تەواو دەکات.
 
بەگوێرەی یاساکانی سوید، کەسێک کە موڵکی ونبو دەدۆزێتەوە، دەبێت ""بەبێ دواکەوتن، ڕادەستی پۆلیسی بکات""، یاساکە بە ڕونی باس لەوە نەکراوە کە ئەوە مانای چییە، بەڵام دواکەوتنی نزیکەی هەفتەیەک بەزۆری وەک شتێکی گونجاو و ئاسایی تەماشا دەکرێت.",https://www.xendan.org/detailnews/165545,https://wenakan.xendan.org/root/root/images/16162023_8456377777777777777777777.jpg
5,بەڤیدیۆ؛ تەقەکەرێکی تیکتۆک دەستگیرکرا,"خەندان-

بەڕێوەبەرایەتی ئاسایشی پارێزگای هەولێر رایگەیاند، کەسێک کە دوای ئەوەی تەقەی کردبو، پاشان تۆماری ڤیدیۆیی ساتی تەقەکردنەکەی لە تیکتۆک بڵاوکردبۆوە، لەلایەن هێزەکانمانەوە دەستگیرکرا و دراوەتە دادگا.

ئاسایشی هەولێر لەڕاگەیەندراوێکدا بڵاویکردەوە، ئەو کەسانەی کە دەبنەهۆی بێزارکردنی هاونیشتمانیان و دیاردەی تەقەکردن و پاشانیش لە تیکتۆک و تۆڕەکۆمەڵایەتیەکان بڵاویدەکەنەوە و سەرپێچی یاسا دەکەن، لەلایەن تیمەکانمان لە ئاسایشی هەولێر دەستگیر دەکرێن"".لەسەر فەرمانی دادوەری لێکۆڵینەوەی ئاسایشی هەولێر کەسێکمان دەستگیر کرد 
ئاماژەی بەوەشکردوە، ""لەچوارچێوەی ئەم هەڵمەتەدا لەسەر فەرمانی دادوەری لێکۆڵینەوەی ئاسایشی هەولێر کەسێکمان دەستگیر کرد کە لە دەوروبەری شاری هەولێر تەقەی کردبو، پاشان تۆماری ڤیدیۆیی ساتی تەقەکردنەکەی لە تۆڕی کۆمەڵایەتیی (تیکتۆک) بڵاوکردبۆوە، لەئێستاشدا رێکاری یاسای بەرامبەر گیراوەتەبەر و دراوەتە دادگا"".هەرکەسێک تەقە بکات لەلایەن هێزەکانماوە دەستگیر دەکرێت لەهەرئاست و پۆستێکدابێت
ئاسایشی هەولێر باسی لەوەشکردوە، ""دوپاتیدەکەینەوە فەرمانی سەرۆکی حکومەتی هەرێمی کوردستان جێجەجێدەکەین لەسەر هەرکەسێک چەکی بێ مۆڵەتی لابێت و تەقەبکات و گرتەڤیدۆیەکانی لەتۆڕەکۆمەڵایەتیەکان بڵابکاتەوە، لەلایەن هێزەکانماوە دەستگیر دەکرێت لەهەرئاست و پۆستێکدابێت"".",https://www.xendan.org/detailnews/165546,https://wenakan.xendan.org/root/root/images/16162023_74622222222222222222.jpg
6,ئەو کەسانەی ویستیان تۆڵەی سولەیمانی بکەنەوە، خرانە لیستی سزاکانی ئەمریکاوە,"خەندان-
واشنتن سزای بەسەر سێ کەسی ئێران و تورکیا و کۆمپانیایەکی قودسی سوپای سوپای پاسدارانی ئێراندا سەپاند، بە تۆمەتی هەوڵدان بۆ تیرۆرکردنی هاوڵاتیان و بەرپرسانی پێشوی ئەمریکا و ناڕازیەکانی ئێران، هەروەها تۆمەتێکی دیکەشیان ئاڕاستەکراوە کە هەوڵیانداوە تۆڵەی تیرۆرکردنی قاسم سولەیمانی فەرماندەی پێشوی قودسی سوپای سوپای پاسداران بکەنەوە.

وەزارەتی گەنجینەی ئەمریکا بڵاویکردەوە، سزاکان دو بەرپرسی باڵای هەواڵگری ئێرانیان کردۆتە ئامانج کە تۆمەتبارن بە تێوەگلان لە پلاندانان بۆ کوشتنی ڕۆژنامەنوسان و چالاکوانان.
 رێگری لەو کەسانە دەکرێت کە دەستیان بە پارە و موڵک و ماڵیان بگات

بەگوێرەی بڕیارەکە، رێگری لەو کەسانە دەکرێت کە دەستیان بە پارە و موڵک و ماڵیان بگات کە لە بانکەکان دانراون، هەروەها رێگری لەکارکردنی ئەمریکییەکان و کۆمپانیا ئەمریکییەکان دەکرێت مامەڵەیان لەگەڵدا بکەن. 
پیلانی گوماناوی بۆ ئەنجامدانی تیرۆر لە ساڵانی ڕابردودا ئاشکرا کرد

لای خۆیەوە هەواڵگریی ئەمریکا، ""پیلانی گوماناوی بۆ ئەنجامدانی تیرۆر لە ساڵانی ڕابردودا ئاشکرا کرد"" و شەهرام بۆرسافی چالاکوانی ئێرانی لە ساڵی ڕابردو تۆمەتبار کرد بەوەی پیلانی کوشتنی جۆن بۆڵتن ڕاوێژکاری پێشوی ئاسایشی نیشتمانی ئەمریکای داڕشتوە وەک تۆڵەسەندنەوەیەک بۆ هێرشە ئاسمانیەکەی ئەمریکا کە بوە هۆی تیرۆرکردنی قاسم سولەیمانی فەرماندەی پێشوی قودسی سوپای پاسداران. 
 300 هەزار دۆلاری پێشکەش کردوە بۆ هەرکەسێک کە بتوانێت جۆن بۆڵتن بکوژێت

وەزارەتی دادی ئەمریکا شەهرام بۆرسافی تۆمەتبار کرد بەوەی کە 300 هەزار دۆلاری پێشکەش کردوە بۆ هەرکەسێک کە بتوانێت جۆن بۆڵتن بکوژێت، بۆیە لەلایەن دەزگای هەواڵگریی ئەمریکا FBI یەوە خرایە لیستی داواکراوان، بە تۆمەتی پیلاندانان بۆ کوشتنی بە کرێ.
هیوادارم ئەمە یەکەم هەنگاو بێت بۆ گۆڕینی ڕژێم لە تاران
دوای هێرشی ئاسمانی بۆ سەر فڕۆکەخانەی نێودەوڵەتی بەغدا لە مانگی (کانونی دوەم/1)ی ساڵی 2022 و تیرۆرکردنی قاسم سولەیمانی، جۆن بۆڵتۆن کە لەو کاتەدا پۆستەکەی لە کۆشکی سپی جێهێشتبو، لە تویتێکدا نوسیویەتی، ""هیوادارم ئەمە یەکەم هەنگاو بێت بۆ گۆڕینی ڕژێم لە تاران"".",https://www.xendan.org/detailnews/165551,https://wenakan.xendan.org/root/root/images/18162023_955555555555555552.jpg
7,بەشدار حەسەن: پەرلەمان لە بڕیاری درێژکردنەوەی ماوەکەی مومارەسەی دەسەڵاتەکانی کردوە,"خەندان-

پارێزەر و شارەزایەکی بواری یاسایی رایدەگەیەنێت، پەرلەمانی کوردستان لەدرێژکردنەوەی تەمەنی خۆی مومارەسەی دەسەڵاتەکانی کردوە، ئەم پرسە هیچ پەیوەندیەکی بە دادگای فیدڕاڵیەوە نیە و داواشدەکات، دەسەڵاتدارانی هەرێم دو ئەندامە کوردەکەی دادگای باڵای فیدڕاڵی بکشێننەوە.

بەشدار حەسەن پارێزەر و شارەزای بواری یاسایی لە هەژماری تایبەتی خۆی لەتۆڕی کۆمەڵایەتی فەیسبوک نوسیویەتی، ""ماددەی 56 لە دەستور کە لە بڕیارەکەی دادگای باڵای فیدڕاڵیش ئاماژەی پێکراوە، باس لەوە دەکات کە ماوەی خولی ئەنجومەنی نوێنەرانی عێراق چوار ساڵی تەقویمییە و لەگەڵ یەکەم دانیشتن دەستپێدەکات و لە کۆتایی ساڵی چوارەم کۆتایی پێدێت، بەڵام بەهیچ شێوەیەک باس لە ماوەی خولەکانی پەرلەمانی کوردستان ناکات، کە بە بڕوای من ناکرێت قیاس بە پەرلەمانی کوردستان بکرێت لەسەر ئەنجومەنی نوێنەران، لەبەر ئەوەی (لا اجتهاد في مورد النص)"".
پەرلەمانی کوردستان مومارەسەی دەسەڵاتە تەشریعییەکەی خۆی کردوە بە درێژکردنەوەی تەمەنی پەرلەمانبەشدار حەسەن راشیگەیاندوە، ""پەرلەمانی کوردستان لە دانیشتنی ئاسایی ژمارە 11ی رۆژی 9ی (تشرینی یەکەم/10)ی 2022 و بە یاسای ژمارە 12ی ساڵی 2022 تەمەنی خۆی بۆ یەک ساڵ درێژکردەوە، بەپێی ماددە 121 بڕگە (ڕ) لە دەستوری عێراق، ماف بە هەرێم دراوە کە مومارەسەی دەسەڵاتە تەشریعی و جێبەجێکردن و دادوەرییەکانی خۆی بکات جگە لەو تایبەتمەندییانەی پەیوەستە بە دەسەڵاتە فیدڕاڵیەکان کە بە مەفهومی من، پەرلەمانی کوردستان مومارەسەی دەسەڵاتە تەشریعییەکەی خۆی کردوە بە درێژکردنەوەی تەمەنی پەرلەمان و ئەم پرسە هیچ پەیوەندی بە دەسەڵاتە ئیتیحادییەکانەوە نییە"".پێشنیار دەکەم بۆ دەسەڵاتدارانی کورد، ئەم دو دادوەرە کوردەی لە دادگای باڵای فیدڕاڵی هەمانە بیانکشێننەوە
دەشڵێت، ""پێشنیار دەکەم بۆ دەسەڵاتدارانی کورد، ئەم دو دادوەرە کوردەی لە دادگای باڵای فیدڕاڵی هەمانە بیانکشێننەوە، لەبەرئەوەی ئەوان ئێستا دادگای باڵای فیدڕاڵی بەوە بێلایەن نیشان دەدەن کە نوێنەری کوردیش لە دادگاکە بونی هەیە، بەڵام لە راستیدا دو دەنگ لەکۆی نۆ دەنگ هیچ کاریگەرییەکی یاسایی نابێت، ئەوەش رونە کە لەکاتی هەبونی هەر پرسێک دژی کورد، جیاوازی و ناکۆکی نێوان شیعە و سوننە نامێنێت و یەکگرتو خۆیان نیشان دەدەن"".دەبێت لایەنە کوردییەکان زوتر و بەر لە توشبونی ئەم حاڵەتانە و وەک ئامادەکارییەکی تەحەفوزی، رێکبکەون
ئاماژەی بەوەشکردوە، ""دەبێت لایەنە کوردییەکان زوتر و بەر لە توشبونی ئەم حاڵەتانە و وەک ئامادەکارییەکی تەحەفوزی، رێکبکەون لەسەر کات و چۆنیەتی هەڵبژاردن لەپێناو پاراستنی دیموکراسیەت و دادپەروەری لە هەرێمەکەمان"".

دادگای فیدڕاڵی عێراق سێشەممەی رابردو، شەشەمین کۆبونەوەی لەبارەی سکاڵای درێژکردنەوەی تەمەنی پەرلەمانی کوردستان ئەنجامدا و بڕیاریدا درێژکردنەوەی تەمەنی پەرلەمانی کوردستان نادەستورییە و هەر کارێکیش پەرلەمان کردبێتی نایاسایە.",https://www.xendan.org/detailnews/165552,https://wenakan.xendan.org/root/root/images/19162023_985355555555555555555555245345.jpg
8,"ناوی ""پوتن"" کێشە بۆ منداڵێکی تەمەن دو ساڵ دروستدەکات","خەندان-
بۆ جاری هەشتەم لەسەریەک دەسەڵاتدارانی خۆجێی سوید داواکاریی ژن و مێردێکی سویدییان ڕەتکردەوە بۆ ئەوەی ناوی منداڵەکەیان بنێن و بە فەرمی بە ناوی پوتن تۆماری بکەن و ئاماژەیان بەوەدا، منداڵەکەیان لە ساڵی 2021ەوە لەدایکبوە و ناویان ناوە پوتن، بەڵام دەسەڵاتداران رازی نابن.
 
بەگوێرەی روسیا تودەی، دەسەڵاتدارانی سوید، ئانی و رۆنی کە دو هاوسەری دانیشتوی گوندی هێشولتن لەمافی دیاریکردنی ناوی منداڵەکەیان بێبەش دەکەن، پوتنی تەمەن دو ساڵ پاش ئەوەی دەچێتە باخچەی ساوایانەوە، دەسەڵاتداران ناوەکەی بە ""نیکۆلای"" تۆماردەکەن، لەبەرامبەریشدا ئانی دایکی لەسەر لۆکەری تایبەت بەمنداڵەکەی ناوەکەی ""پوتن"" هەڵدەکۆڵێت تا رەش نەکرێتەوە و هەموان بە پوتن ناوی بهێنن.
کەسوکار و خزمانی ئەو ژن و پیاوە، منداڵەکە بە پوتن بانگدەکەن

کەسوکار و خزمانی ئەو ژن و پیاوە، منداڵەکە بە پوتن بانگدەکەن، بەبێ ئەوەی گوێ بەو ناوە بدەن کە لەلایەن دەسەڵاتدارانەوە بۆی دیاریکراوە. 
کاتێک چاوت پێی دەکەوێت، یەکسەر تێدەگەیت کە ئەم منداڵە کۆپییەکی بچوکی پوتنە و زۆر شێوەی لەو دەچێت

رۆنی باوکی پوتنە و لەوبارەیەوە دەڵێت، ""منداڵەکەمان دەیەوێت بۆ خۆی بڕیار بدات، هەمو شتێک دەبێت بەپێی ئارەزوی خۆی ئەنجامبدرێت، کاتێک چاوت پێی دەکەوێت، یەکسەر تێدەگەیت کە ئەم منداڵە کۆپییەکی بچوکی پوتنە و زۆر شێوەی لەو دەچێت"".

ئانی و ڕۆنی بڕیاریان داوە جارێکی دیکە داوای دانپێدانان بە بڕیارەکەیان بکەن، بەڵام ئامادەن سازش بکەن بۆ گڕینی پیتێکی ناوی منداڵەکەیان بەجۆرێک پیتی ""ت""ی بۆ زیاد بکەن و منداڵەکەیان بە ناوی (پوتتن) تۆماربکەن.",https://www.xendan.org/detailnews/165549,https://wenakan.xendan.org/root/root/images/17162023_182652023_895632654654564.jpg
9,,,https://www.xendan.org/detailnews/165544,https://wenakan.xendan.org/root/
